Date,Open,Close,Volume,Date_2
2000-01-03,64.0,64.099998,100,2000-01-03
2000-01-04,61.0,60.0,100,2000-01-04
2000-01-05,58.0,58.799999,70,2000-01-05
2000-01-06,57.799999,57.799999,320,2000-01-06
2000-01-07,56.200001,55.900002,40,2000-01-07
2000-01-08,56.200001,55.900002,40,2000-01-08
2000-01-09,56.200001,55.900002,40,2000-01-09
2000-01-10,59.0,60.0,0,2000-01-10
2000-01-11,60.0,60.0,0,2000-01-11
2000-01-12,60.799999,61.400002,200,2000-01-12
2000-01-13,63.299999,63.5,0,2000-01-13
2000-01-14,62.799999,64.0,0,2000-01-14
2000-01-15,62.799999,64.0,0,2000-01-15
2000-01-16,62.799999,64.0,0,2000-01-16
2000-01-17,64.400002,66.0,0,2000-01-17
2000-01-18,67.0,66.300003,30,2000-01-18
2000-01-19,65.0,65.0,0,2000-01-19
2000-01-20,65.900002,67.0,30,2000-01-20
2000-01-21,67.699997,67.699997,0,2000-01-21
2000-01-22,67.699997,67.699997,0,2000-01-22
2000-01-23,67.699997,67.699997,0,2000-01-23
2000-01-24,66.0,66.5,0,2000-01-24
2000-01-25,66.5,65.400002,60,2000-01-25
2000-01-26,66.5,66.5,0,2000-01-26
2000-01-27,67.0,66.400002,0,2000-01-27
2000-01-28,66.0,66.0,0,2000-01-28
2000-01-29,66.0,66.0,0,2000-01-29
2000-01-30,66.0,66.0,0,2000-01-30
2000-01-31,64.0,64.5,0,2000-01-31
2000-02-01,65.699997,66.0,40,2000-02-01
2000-02-02,67.5,68.800003,100,2000-02-02
2000-02-03,71.0,71.0,0,2000-02-03
2000-02-04,77.5,79.0,0,2000-02-04
2000-02-05,77.5,79.0,0,2000-02-05
2000-02-06,77.5,79.0,0,2000-02-06
2000-02-07,79.800003,79.800003,0,2000-02-07
2000-02-08,80.0,80.0,0,2000-02-08
2000-02-09,81.0,84.5,0,2000-02-09
2000-02-10,82.0,82.0,0,2000-02-10
2000-02-11,83.800003,84.5,0,2000-02-11
2000-02-12,83.800003,84.5,0,2000-02-12
2000-02-13,83.800003,84.5,0,2000-02-13
2000-02-14,84.199997,89.0,400,2000-02-14
2000-02-15,92.5,90.0,0,2000-02-15
2000-02-16,88.5,86.5,0,2000-02-16
2000-02-17,87.5,86.199997,160,2000-02-17
2000-02-18,88.0,88.300003,0,2000-02-18
