Date,Open,Close,Volume,Date_2
1998-06-26,19.433792,19.845863,83279,1998-06-26
1998-06-27,19.433792,19.845863,83279,1998-06-27
1998-06-28,19.433792,19.845863,83279,1998-06-28
1998-06-29,20.103348,20.952597,664203,1998-06-29
1998-06-30,21.184479,21.23568,419443,1998-06-30
1998-07-01,21.222879,21.274574,246791,1998-07-01
1998-07-02,21.364668,21.505962,290462,1998-07-02
1998-07-03,21.570457,21.364668,53826,1998-07-03
1998-07-04,21.570457,21.364668,53826,1998-07-04
1998-07-05,21.570457,21.364668,53826,1998-07-05
1998-07-06,21.570457,21.104725,28436,1998-07-06
1998-07-07,21.621658,21.107185,46717,1998-07-07
1998-07-08,21.493162,21.04269,54842,1998-07-08
1998-07-09,20.772408,21.222879,120856,1998-07-09
1998-07-10,21.171679,21.158386,42655,1998-07-10
1998-07-11,21.171679,21.158386,42655,1998-07-11
1998-07-12,21.171679,21.158386,42655,1998-07-12
1998-07-13,20.849703,20.849703,58904,1998-07-13
1998-07-14,20.59222,21.068293,40624,1998-07-14
1998-07-15,20.862503,20.824102,55858,1998-07-15
1998-07-16,20.978197,21.02989,87341,1998-07-16
1998-07-17,21.184479,21.364668,120856,1998-07-17
1998-07-18,21.184479,21.364668,120856,1998-07-18
1998-07-19,21.184479,21.364668,120856,1998-07-19
1998-07-20,21.596058,21.493162,135075,1998-07-20
1998-07-21,21.107185,21.505962,108669,1998-07-21
1998-07-22,20.514927,21.144602,91404,1998-07-22
1998-07-23,21.270144,20.61585,72107,1998-07-23
1998-07-24,20.263351,20.011776,32499,1998-07-24
1998-07-25,20.263351,20.011776,32499,1998-07-25
1998-07-26,20.263351,20.011776,32499,1998-07-26
1998-07-27,19.759708,19.634167,50780,1998-07-27
1998-07-28,20.036884,20.61585,93435,1998-07-28
1998-07-29,20.338675,20.590742,138121,1998-07-29
1998-07-30,20.389383,21.144602,51795,1998-07-30
1998-07-31,20.565634,21.144602,67029,1998-07-31
1998-08-01,20.565634,21.144602,67029,1998-08-01
1998-08-02,20.565634,21.144602,67029,1998-08-02
1998-08-03,20.640959,20.011776,25390,1998-08-03
1998-08-04,20.087101,20.766993,50780,1998-08-04
1998-08-05,20.011776,19.885742,39608,1998-08-05
1998-08-06,19.986668,19.206343,114763,1998-08-06
1998-08-07,19.130526,19.206343,46717,1998-08-07
1998-08-08,19.130526,19.206343,46717,1998-08-08
1998-08-09,19.130526,19.206343,46717,1998-08-09
1998-08-10,19.508135,19.256559,14218,1998-08-10
1998-08-11,18.87895,18.375307,106638,1998-08-11
1998-08-12,18.576666,18.123734,43670,1998-08-12
1998-08-13,18.123734,17.746124,37577,1998-08-13
1998-08-14,17.922375,18.249767,81248,1998-08-14
1998-08-15,17.922375,18.249767,81248,1998-08-15
1998-08-16,17.922375,18.249767,81248,1998-08-16
1998-08-17,17.635353,18.438326,69060,1998-08-17
1998-08-18,18.627375,18.375307,111716,1998-08-18
1998-08-19,18.375307,18.022808,58904,1998-08-19
1998-08-20,18.123734,18.375307,95466,1998-08-20
1998-08-21,17.9977,17.9977,137106,1998-08-21
1998-08-22,17.9977,17.9977,137106,1998-08-22
1998-08-23,17.9977,17.9977,137106,1998-08-23
1998-08-24,18.098625,17.821449,17265,1998-08-24
1998-08-25,17.746124,18.224657,74138,1998-08-25
1998-08-26,17.9977,18.236965,86326,1998-08-26
1998-08-27,17.9977,17.746124,105622,1998-08-27
1998-08-28,17.393623,17.746124,395069,1998-08-28
1998-08-29,17.393623,17.746124,395069,1998-08-29
1998-08-30,17.393623,17.746124,395069,1998-08-30
1998-08-31,16.110149,16.990908,213276,1998-08-31
1998-09-01,16.613298,17.242481,159449,1998-09-01
1998-09-02,17.368517,17.872158,113747,1998-09-02
1998-09-03,17.62009,17.62009,71092,1998-09-03
1998-09-04,17.62009,17.62009,52811,1998-09-04
1998-09-05,17.62009,17.62009,52811,1998-09-05
1998-09-06,17.62009,17.62009,52811,1998-09-06
1998-09-07,17.62009,17.9977,77185,1998-09-07
1998-09-08,17.9977,18.62442,88357,1998-09-08
1998-09-09,18.375307,18.627375,57889,1998-09-09
1998-09-10,18.375307,17.748587,51795,1998-09-10
1998-09-11,17.368517,17.748587,30468,1998-09-11
1998-09-12,17.368517,17.748587,30468,1998-09-12
1998-09-13,17.368517,17.748587,30468,1998-09-13
1998-09-14,17.62009,17.84705,36561,1998-09-14
1998-09-15,17.947483,17.746124,99528,1998-09-15
